,popularity
120430,55
92451,48
18716,55
72665,6
107067,5
226948,52
77227,71
224217,61
49231,36
60121,50
225920,59
44366,55
84111,53
224799,64
197775,47
212799,68
212081,12
17287,59
176943,49
46575,49
186702,22
190775,18
50009,35
78939,65
75006,1
90743,52
31972,21
26849,27
231360,36
42435,58
170347,24
45123,16
132971,60
2812,53
116737,69
227108,55
39424,25
90387,48
180393,33
210781,29
134725,32
131726,47
148617,38
112033,68
222350,65
74666,0
136429,34
76039,0
179288,37
210289,37
1375,61
143435,49
189248,17
194632,3
54521,14
28360,38
176902,43
32275,19
119921,52
119386,55
208222,44
18539,53
227213,52
120449,51
97021,57
176422,37
179626,31
105219,49
89527,60
144690,58
58020,33
83660,44
224827,57
228521,48
190379,16
178450,33
198634,43
35606,18
199332,34
35346,14
53177,19
110267,77
40594,68
110685,70
22333,55
14929,24
181431,36
67042,74
28966,42
214066,53
142933,53
58790,21
109411,81
205118,5
75667,2
36441,36
78592,65
23121,47
186877,25
139960,51
25647,48
223563,63
123273,50
13952,75
33653,18
103901,47
196622,39
68094,73
77772,67
89855,52
189064,21
126039,27
149498,61
27512,40
119301,52
13794,69
111817,68
91944,46
44255,49
71356,28
76371,0
195140,10
223310,62
171178,22
184468,30
226649,55
128250,26
78143,62
153551,59
163254,27
118577,57
63720,46
174668,13
85785,47
131158,40
195477,1
198505,44
87149,76
210178,38
99467,58
189663,18
206349,25
107576,3
211936,13
45212,9
123583,50
129619,32
135964,24
38932,31
152419,63
39440,36
17470,54
83827,44
34035,14
21358,49
127056,35
205111,38
93830,59
136062,25
65374,44
498,0
221633,33
91678,49
212697,62
205861,23
34441,15
26339,40
77857,67
162753,29
229607,43
135102,26
195877,2
118129,61
226765,50
205830,23
183396,35
52687,28
130606,23
127467,33
210889,47
227526,21
52692,28
62293,55
214748,48
40162,35
25637,43
145089,43
70918,24
12722,42
132668,30
137124,29
195519,0
132354,40
206656,20
67968,65
59172,14
6099,48
37167,24
214028,52
113661,62
87040,70
101107,48
191646,12
127922,34
127059,33
100403,53
18227,58
96905,51
55945,3
204058,23
210880,34
166194,70
67591,68
94028,59
128033,30
82838,11
225712,56
66512,36
152925,64
72525,12
156698,48
218509,37
206205,23
113144,63
204490,34
62343,44
21014,50
204850,29
191469,14
12598,43
96344,51
161747,31
230238,42
5108,58
56372,6
124985,1
43258,43
32061,19
143762,50
225715,56
173022,19
227395,48
99721,38
97921,52
130115,23
38550,35
43403,49
190143,18
45172,26
201096,32
50295,24
3460,52
217014,32
197054,40
144344,47
48185,35
99356,53
140331,54
50147,39
146303,56
229161,51
70044,58
54291,0
79685,14
117525,64
131145,0
135704,25
17958,62
152447,70
23970,40
145482,63
185195,30
13270,47
103894,53
108161,78
93123,68
199733,46
160930,36
101179,48
19024,54
28379,30
69678,56
129065,30
95569,51
76527,0
25341,38
104553,0
170652,22
115093,68
113423,65
93398,64
9315,48
47019,45
40957,65
11484,37
181481,29
108924,74
104077,31
196117,3
108638,74
130733,27
180458,35
187825,24
119814,50
49966,40
198847,49
92931,73
192543,55
20433,61
12215,42
204853,30
92240,50
62023,35
44419,50
151162,55
137025,34
88379,54
117780,61
115874,63
106156,5
21729,50
219043,22
210607,35
87553,73
176360,36
184178,13
102666,46
171138,21
28952,36
87696,73
51232,32
178756,43
3901,39
57372,50
133355,32
12501,43
156668,48
174532,14
230770,39
181450,33
111588,71
30247,32
178403,45
107165,10
49313,35
89603,52
139586,63
182685,27
200448,34
61787,49
38387,32
159225,47
171504,20
164754,33
230719,44
3940,40
96539,53
224321,58
139381,61
15928,60
164068,27
54090,61
106566,8
95443,65
84682,42
118775,54
134600,37
216442,43
1187,73
151383,64
43173,53
181400,36
104825,0
68061,64
71122,23
113929,63
67633,66
141599,47
64864,44
56815,56
112181,71
206806,23
116961,60
178150,38
67392,68
184024,20
30440,34
203347,28
63522,42
163789,39
7325,41
35402,14
229443,43
4525,39
101026,48
157761,43
212724,63
3865,39
135417,39
178035,38
227256,52
206279,26
191850,18
118674,55
111396,70
98893,49
62624,50
229426,48
53415,22
81642,6
134871,25
167110,21
21681,50
87804,54
103424,44
176084,39
218871,31
227268,50
20759,63
13505,44
139454,59
180930,3
32007,17
58145,33
89773,51
219587,25
174439,12
193275,53
11569,41
184612,10
1879,55
92927,70
147719,42
229862,45
11396,41
37426,43
67923,64
226175,57
208226,52
20363,50
62688,53
87778,69
135929,27
31718,22
23920,42
115158,62
65045,43
156329,52
174215,13
228540,49
98061,69
123053,47
38216,31
134652,29
175784,10
212756,62
27758,53
50943,36
167390,45
96406,59
192012,71
92343,48
94116,63
202924,32
215488,49
11296,42
51317,27
219684,38
132528,40
153255,47
91955,51
65504,45
156768,53
92102,50
49996,28
183072,25
180687,39
111458,71
175108,14
161530,30
1372,64
111649,65
135323,50
33411,21
77423,65
179252,36
103384,47
98218,58
105230,48
109926,68
27280,44
135354,33
140056,60
82058,4
167615,40
143147,53
184838,48
106072,13
126436,0
102417,46
89577,63
5058,47
217144,37
83986,42
11932,45
202918,28
218064,27
53353,26
118643,54
189689,18
109446,70
212115,10
192110,66
4643,51
65357,42
91039,52
226808,53
178556,36
180546,32
121852,49
27712,45
56091,1
25412,36
107016,11
141889,57
174981,13
114355,70
231633,42
114881,70
31660,31
46536,48
195917,0
103246,62
82894,5
188518,24
75318,1
143420,51
159347,54
184908,35
73434,2
200703,32
68197,66
194782,25
226464,54
118199,64
150196,59
195667,0
185930,24
21835,41
45103,13
6965,38
175260,12
153307,59
63777,49
148838,36
195259,5
107422,9
98195,56
49752,32
32955,38
159370,45
70562,60
219778,24
21071,56
52253,22
36701,35
131483,38
82683,9
122788,59
158035,30
72345,11
9516,50
202313,31
78448,60
45808,59
153966,57
321,0
124294,0
16553,59
33102,1
187548,26
12930,45
190125,26
40562,77
135757,35
229222,45
177818,33
156695,43
91320,66
172023,19
91060,51
42891,51
126073,0
94908,64
113437,64
55083,58
96782,59
209094,40
34955,32
184176,19
120685,52
32270,38
